-,-,-
-217, 450, 159
-945, 1083, -498
-1836, 1946, -938
-1998, 1997, -1257
-1998, 1997, -1364
-1564, 436, -369
-1058, -745, 417
-781, -1626, 1261
-510, -1955, 1964
-81, -1998, 1998
251, -1998, 1998
363, -1998, 1998
353, -1998, 1998
390, -1992, 1981
418, -1787, 1789
455, -1540, 1526
459, -1290, 1249
457, -1162, 979
432, -1151, 861
432, -1151, 861
352, -1386, 701
150, -1853, 515
-158, -1998, 197
-525, -1998, 306
-870, -1998, 838
-1019, -1998, 859
-1179, -1998, 513
-1529, -1986, 307
-1942, -798, 693
-1998, 1179, 1213
-1998, 1997, 1661
-1998, 1997, 1998
-1320, 1997, 1483
-256, 1182, 1222
301, 579, 913
301, 579, 913
460, 199, 871
383, -24, 932
256, -110, 1054
118, -66, 1149
3, -21, 1200
3, -21, 1200
-87, 63, 1192
-42, -31, 1056
118, -62, 1034
216, -41, 868
261, -77, 805
261, -77, 805
242, -131, 903
-,-,-
-1042, 740, -684
-1993, 1969, -1291
-1998, 1997, -1524
-1998, 1997, -1663
-1998, 930, -1307
-1737, -1878, 306
-589, -1998, 1719
-423, -1998, 1998
-311, -1998, 1998
-124, -1998, 1998
197, -1998, 1998
642, -1998, 1998
906, -1742, 1905
829, -1251, 1595
676, -1041, 1325
507, -891, 1148
368, -765, 917
254, -728, 827
154, -903, 745
86, -1305, 523
-205, -1731, 441
-433, -1998, 448
-535, -1998, 571
-598, -1998, 569
-746, -1998, 658
-979, -1934, 892
-1211, -1070, 1508
-1879, 506, 1845
-1998, 1969, 1545
-1998, 1997, 1677
-1963, 1997, 1323
-883, 1439, 1235
104, 391, 1251
363, 33, 1020
335, -98, 821
335, -98, 821
246, -173, 1024
163, -238, 1106
62, -160, 1206
4, -31, 1112
0, 55, 939
0, 55, 939
105, -9, 839
175, -90, 847
206, -123, 883
228, -167, 889
228, -167, 889
230, -203, 884
217, -200, 887
175, -156, 885
125, -115, 901
124, -109, 936
138, -108, 929
169, -103, 932
169, -103, 932
-,-,-
-491, 423, 339
-491, 423, 339
-1341, 1096, -74
-1991, 1959, -577
-1998, 1997, -1233
-1998, 1997, -1566
-1596, -1538, 299
-363, -1998, 1896
142, -1998, 1998
129, -1998, 1998
149, -1998, 1998
304, -1998, 1998
498, -1893, 1998
627, -1670, 1777
611, -1317, 1437
498, -999, 1084
385, -803, 901
385, -803, 901
284, -764, 762
177, -903, 714
25, -1192, 623
-132, -1677, 423
-330, -1998, 240
-521, -1998, 370
-712, -1998, 505
-947, -1998, 637
-1204, -1923, 745
-1569, -917, 1038
-1756, 582, 1508
-1963, 1613, 1832
-1998, 1997, 1998
-1949, 1997, 1998
-1331, 1985, 1969
-552, 1432, 1633
100, 578, 1357
492, 22, 1114
519, -130, 882
321, -127, 795
166, -162, 944
110, -137, 985
110, -137, 985
109, -128, 965
147, -158, 971
119, -57, 879
126, -48, 838
131, -57, 822
164, -102, 835
164, -102, 835
180, -138, 884
168, -142, 934
-,-,-
451, 52, 431
83, 230, 130
-495, 739, -62
-1311, 1676, -500
-1956, 1997, -780
-1998, 1997, -868
-1971, 1843, -658
-1489, 545, 135
-849, -850, 1036
-193, -1852, 1902
323, -1998, 1998
277, -1998, 1998
294, -1998, 1998
400, -1951, 1998
403, -1680, 1851
245, -1570, 1541
143, -1696, 1487
157, -1787, 1431
204, -1739, 1230
294, -1869, 888
116, -1943, 677
-154, -1998, 700
-570, -1998, 755
-967, -1998, 841
-1142, -1998, 864
-1375, -1814, 925
-1430, -566, 840
-1395, 1039, 983
-1668, 1950, 1309
-1998, 1997, 1952
-1748, 1997, 1904
-1066, 1655, 1849
-417, 739, 1598
61, 202, 1027
335, -153, 816
404, -360, 727
404, -360, 727
274, -317, 787
163, -271, 936
135, -260, 994
129, -206, 977
129, -113, 913
137, -29, 841
157, -4, 822
157, -4, 822
145, 5, 851
115, 14, 876
97, 4, 887
-,-,-
-354, 698, -69
-1335, 1668, -448
-1998, 1997, -725
-1998, 1997, -778
-1998, 1916, -878
-1667, -244, -148
-159, -1962, 1079
843, -1998, 1891
1045, -1998, 1998
778, -1998, 1998
375, -1998, 1998
240, -1982, 1998
287, -1648, 1998
312, -1363, 1728
325, -1127, 1373
328, -970, 1163
378, -913, 1037
381, -999, 973
373, -1365, 904
270, -1859, 842
270, -1859, 842
0, -1998, 880
-427, -1998, 931
-796, -1998, 844
-999, -1998, 741
-1148, -1857, 591
-1273, -466, 702
-1464, 1019, 981
-1772, 1979, 1441
-1998, 1997, 1980
-1873, 1997, 1996
-1069, 1823, 1988
-255, 909, 1634
225, 348, 1161
